,Country,Year,df_CO2AVBUNK,df_CO2GDP,df_CO2GDPPPP,df_CO2MARBUNK,df_CO2POP,df_CO2TES,df_GHGFC,df_GHGFugi,df_GHGFCOil,df_GHGFCGas,df_GHGEnergy,df_GHGFCCoal
93,United Rep. of Tanzania,1971,0.08588861,0.209,0.084,0.053380283,0.1,7.504,2.468590309,0.606508,1.423501768,0,2.469196817,0
94,Togo,1971,0,0.2,0.082,0,0.152,11.286,0.472494433,0.1239963,0.348639014,0,0.4726184293,0
95,Tunisia,1971,0.388992883,0.562,0.213,0.060670844,0.718,53.67,3.873489974,1606.941653,3.460411889,0.002122799,5.480431627,0.293977129
96,Uganda,1971,0.26786752,2.073,0.72,0,0.075,4.105,1.962666773,0,0.813858602,0,1.962666773,0
97,Zambia,1971,0.04406275,0.606,0.236,0,0.765,21.824,3.929958193,..,1.379846972,0,..,2.025628634
98,Zimbabwe,1971,0.08588861,1.269,0.684,0,1.351,31.816,8.441457405,..,1.529900045,0,..,5.821656382
99,Other Africa,1971,0.325267874,0.214,0.09,2.960002784,0.131,8.211,10.90666796,..,5.646971132,0,..,0.112742928
100,Bangladesh,1971,0.060430303,0.075,0.026,0.065438089,0.042,12.096,4.522019405,91.2686185,2.218336105,0.309054475,4.613288024,0.372997136
101,Brunei Darussalam,1971,0.003189042,0.072,0.036,0,2.864,53.624,0.40369545,8476.578555,0.172466193,0.228892638,8.880274005,0
102,Cambodia,1971,..,..,..,..,..,..,..,..,..,..,..,..
103,DPR of Korea,1971,0,7.985,2.21,0,4.482,84.812,69.66453319,..,2.388167557,0,..,67.19181451
104,India,1971,1.692030394,0.943,0.283,0.718163651,0.317,32.494,204.8493087,10730.60298,53.3398778,1.024008226,215.5799116,128.2389413
105,Indonesia,1971,0.165822679,0.349,0.114,0.708046708,0.213,17.179,34.61988211,19064.26408,24.85287791,0.10188727,53.68414619,0.531658549
106,Lao People's Democratic Republic,1971,..,..,..,..,..,..,..,..,..,..,..,..
107,Malaysia,1971,0.420300059,1.24,0.498,0.10929839,2.449,102.221,26.30934402,1719.46717,12.88446068,0.014838382,28.02881119,13.16037019
108,Mongolia,1971,..,..,..,..,..,..,..,..,..,..,..,..
109,Myanmar,1971,0.025405471,0.972,0.267,0.006417043,0.162,13.632,6.625537936,..,3.878422369,0.115693474,..,0.566644328
110,Nepal,1971,0.009566825,0.047,0.014,0,0.015,1.242,1.496141662,..,0.16377559,0,..,0.028727641
111,Pakistan,1971,1.139099136,0.435,0.133,0.291601701,0.261,22.247,19.52926686,973.7194225,8.563418165,4.887424252,20.50298628,2.602768935
112,Philippines,1971,0.709404743,0.444,0.185,1.308633694,0.624,37.645,26.34454103,8.08928,24.23316836,0,26.35263031,0.04978095
113,Singapore,1971,0.704112189,0.371,0.238,8.979678251,2.868,53.005,6.116192583,..,6.047722598,0.047145111,..,0.017674244
114,Sri Lanka,1971,0,0.299,0.099,1.20131664,0.216,17.342,3.679131754,..,2.793644593,0,..,0.006074152
115,Chinese Taipei,1971,1.418357775,1.076,0.522,0.398276736,1.965,71.291,30.22306075,..,18.31506498,1.565279528,..,10.34271624
116,Thailand,1971,1.144233007,0.456,0.168,0.212556289,0.445,28.481,17.62410915,12.137905,16.08575574,0,17.63624705,0.476881333
117,Viet Nam,1971,6.976649855,0.741,0.253,0,0.38,29.429,18.81454544,830.769655,10.75836149,0,19.64531509,5.767945203
118,Other Asia,1971,0.395370667,0.387,0.206,0.572979874,0.394,44.662,11.58893873,..,5.73435574,0.46083053,..,4.538450183
119,People's Rep. of China,1971,0,3.116,1.937,2.408285421,0.928,47.648,855.0963489,45807.0339,114.3927467,7.368577125,900.9033828,677.1949443
